5=0.39196197061365595,6=0.15773552290406204,7=0.09709017574186098,12=0.06741573033707857,1=0.03831748775568995,9=0.03716508210890229,0=0.037021031403053836,11=0.032843560933448535,10=0.03010659752232782,2=0.029674445404782448,8=0.027081532699510188,4=0.02679343128781327,3=0.026793431287813266,
6=0.21855034148490815,8=0.17691121392377152,7=0.0879048248512887,0=0.06543291473892916,12=0.06499228905045157,9=0.05816259087904818,1=0.05662040096937644,11=0.05375633399427179,3=0.04824851288830133,5=0.0464860101343908,4=0.04296100462656967,10=0.040096937651465034,2=0.039876624807226216,
6=0.24033981912852811,7=0.10221978624280625,9=0.08111811455193209,0=0.076733351603179,12=0.07180049328583178,1=0.06768977802137577,11=0.06330501507262268,5=0.05015072622636342,10=0.04987667854206635,3=0.04960263085776929,8=0.04932858317347222,4=0.04905453548917515,2=0.048780487804878085,
1=0.1728887277999275,8=0.08916274012323298,3=0.07067778180500175,4=0.07067778180500175,0=0.06777818050018118,7=0.06705328017397603,11=0.06705328017397603,12=0.06705328017397603,9=0.06669083001087346,6=0.06560347952156574,10=0.06560347952156574,2=0.0648785791953606,5=0.0648785791953606,
6=0.1683273266906932,7=0.15560737757048979,9=0.1231715073139708,1=0.11299554801780799,12=0.07992368030527883,0=0.07059571761712959,11=0.05681577273690913,10=0.03943184227263092,5=0.03943184227263091,3=0.03858384566461734,2=0.038371846512613945,4=0.038371846512613945,8=0.038371846512613945,
12=0.197752808988764,6=0.1186516853932583,1=0.09573033707865163,5=0.0916853932584269,9=0.08786516853932581,7=0.08606741573033706,0=0.055955056179775316,11=0.05573033707865171,4=0.04539325842696632,8=0.04202247191011239,10=0.04157303370786519,2=0.041123595505618005,3=0.040449438202247216,
2=0.19084099421178077,5=0.17517875383043927,6=0.09227102485529456,9=0.08086482805583936,8=0.07235274089206678,4=0.05686074225400068,3=0.05600953353762342,12=0.05498808307797069,0=0.05056179775280897,10=0.04511406196799453,1=0.044262853251617267,11=0.041368743615934594,7=0.039325842696629185,
6=0.16011235955056197,9=0.12303370786516853,7=0.10758426966292128,12=0.10252808988764044,0=0.07219101123595503,1=0.06797752808988759,11=0.06488764044943819,10=0.0511235955056179,8=0.05056179775280891,2=0.04999999999999991,3=0.04999999999999991,4=0.04999999999999991,5=0.04999999999999991,
1=0.26818935347209427,11=0.17369681340946758,6=0.09946583164487015,9=0.07257321790384973,12=0.06575796647633078,8=0.051206483698655374,0=0.04420703628660896,4=0.04420703628660896,3=0.0414440965186959,7=0.03831276478172777,10=0.03407625713759443,5=0.03370786516853935,2=0.033155277214956744,
4=0.2382022471910113,5=0.13370786516853927,0=0.0919101123595505,9=0.07617977528089886,1=0.06269662921348314,11=0.06224719101123594,8=0.06067415730337077,7=0.05056179775280901,3=0.04966292134831463,12=0.04764044943820227,10=0.04449438202247195,6=0.041123595505618005,2=0.04089887640449441,
2=0.6286834852660587,5=0.07313970744117027,0=0.04292982828068691,10=0.04218783124867504,9=0.03868984524061908,1=0.02904388382446472,11=0.02416790332838671,7=0.02395590417638332,12=0.020987916048335813,6=0.019291922832308673,4=0.019079923680305276,8=0.018973924104303583,3=0.018867924528301886,
4=0.20246750385547446,11=0.14606741573033688,8=0.0953954615554086,0=0.08636263494161699,9=0.07380480282000432,5=0.06234853491958574,1=0.05948446794448108,10=0.05199383124036125,3=0.0513328927076448,7=0.045825071601674316,12=0.04428288169200258,2=0.04053756333994268,6=0.040096937651465034,
5=0.2965868136527454,3=0.1962052151791394,6=0.1184015263938944,8=0.09476362094551627,9=0.047911808352766636,2=0.04239983040067842,7=0.03773584905660381,12=0.03413186347254615,0=0.029679881280474895,1=0.027135891456434188,4=0.02565189739241046,10=0.025121899512401968,11=0.024273902904388415,
10=0.4915365533343062,2=0.14614037647745512,11=0.08689624981759808,5=0.05953596964832915,6=0.052239894936524166,7=0.04341164453524001,9=0.027141397927914764,12=0.02079381292864436,0=0.016999854078505735,1=0.015394717641908631,3=0.013570698963957371,8=0.01327885597548518,4=0.013059973734131024,
6=0.20134831460674144,3=0.1777528089887639,9=0.10112359550561793,7=0.08359550561797748,12=0.06719101123595506,0=0.05932584269662919,1=0.05415730337078653,11=0.05123595505617979,10=0.04179775280898879,8=0.041123595505618005,5=0.04089887640449441,4=0.040449438202247216,2=0.04000000000000003,
8=0.20058942715048808,6=0.1799594768834038,7=0.15306686314238344,9=0.08012525326947871,12=0.05765334315711914,3=0.051574875667710435,0=0.045864800147356784,4=0.045128016209246634,1=0.042917664394916184,11=0.0414440965186959,5=0.034444649106649496,10=0.03426045312212196,2=0.0329710812304292,
3=0.29353932584269676,5=0.13529962546816474,6=0.11376404494382023,8=0.1060393258426967,11=0.09234550561797752,9=0.049508426966292145,7=0.042368913857677916,12=0.03546348314606742,0=0.03066479400749064,1=0.027153558052434454,4=0.0261001872659176,2=0.02387640449438201,10=0.023876404494382,
6=0.23618436138500332,9=0.10318734235267142,7=0.08713597798670032,10=0.08232056867690896,12=0.07773446457234578,2=0.06810364595276314,0=0.05961935335932123,1=0.05572116487044254,11=0.05526255445998624,4=0.045402430635175434,5=0.04471451501949097,3=0.04242146296720938,8=0.042192157761981236,
6=0.16332263242375614,3=0.1587078651685394,1=0.13242375601926165,7=0.11757624398073839,9=0.08587479935794542,8=0.05397271268057784,12=0.04795345104333867,0=0.047150882825040104,11=0.04333868378812195,4=0.0389245585874799,10=0.038723916532905266,5=0.036316211878009604,2=0.03571428571428569,
0=0.1285525446133508,9=0.12194315928618625,1=0.09021810971579633,11=0.08195637805684058,6=0.07832121612690007,12=0.07468605419695955,7=0.06972901520158613,10=0.059484467944481034,3=0.05915399867812281,4=0.05915399867812281,8=0.05915399867812281,2=0.05882352941176458,5=0.05882352941176458,
7=0.13327091136079902,0=0.12921348314606737,9=0.10049937578027462,1=0.08208489388264659,6=0.07459425717852675,12=0.07428214731585504,11=0.07240948813982509,3=0.05586766541822711,2=0.05555555555555545,4=0.05555555555555545,5=0.05555555555555545,8=0.05555555555555545,10=0.05555555555555545,
8=0.2401074743527112,7=0.14533463605276015,0=0.08451392281387402,9=0.06619443087445046,1=0.06008793356130925,6=0.0593551538837323,3=0.05471421592574505,12=0.05373717635564243,11=0.053248656570591156,4=0.051538837322911604,5=0.044211040547142234,2=0.04347826086956529,10=0.04347826086956529,
1=0.16897995153117407,12=0.15377836527869557,8=0.09253139458030392,7=0.0854813835646617,0=0.07887199823749717,9=0.06411103767349628,4=0.06367041198501865,3=0.06322978629654101,11=0.05375633399427179,6=0.053536021150032975,5=0.042079753249614396,2=0.04075787618418149,10=0.03921568627450976,
12=0.1215050953749675,11=0.11836948001045221,5=0.10243010190749947,7=0.10112359550561807,0=0.09459106349621121,9=0.08074209563626872,1=0.07211915338385166,6=0.06297360857068206,2=0.05617977528089894,10=0.04938594199111582,3=0.047034230467729345,4=0.04677292918735307,8=0.04677292918735307,
1=0.17977528089887615,12=0.11927398444252356,0=0.11264765197349456,9=0.08729472774416584,11=0.06539902045520016,7=0.06251800633823099,6=0.061941803514837156,2=0.052146355517141946,3=0.051858254105445034,4=0.051858254105445034,5=0.05185825410544502,8=0.05185825410544502,10=0.051570152693748116,
6=0.17368913857677892,8=0.15402621722846446,4=0.08707865168539324,9=0.08637640449438201,12=0.08263108614232208,3=0.06273408239700379,0=0.05922284644194757,1=0.052434456928838954,5=0.05196629213483145,7=0.050561797752808946,11=0.04939138576779026,10=0.047986891385767776,2=0.04190074906367036,
10=0.5112093295702645,5=0.09792853719580384,2=0.0742851057031791,3=0.05149368975983811,6=0.04904414505564726,9=0.04872463922466585,8=0.0407902444219607,11=0.03855370360509079,7=0.024388945098248044,0=0.019383353746205877,12=0.018052079450449968,1=0.015389530858938193,4=0.010756696309707648,
6=0.20064205457463866,9=0.13590155163188855,7=0.108079186730872,0=0.07624398073836268,11=0.06420545746388437,1=0.06367041198501867,12=0.06179775280898869,10=0.04949170679507753,5=0.048956661316211805,4=0.04815409309791325,2=0.04761904761904755,3=0.04761904761904755,8=0.04761904761904755,
3=0.17558560274233484,8=0.16739668634545793,6=0.14187773757379535,9=0.09693391734907628,7=0.07808036564463902,0=0.05256141687297652,12=0.04818129880022847,1=0.044943820224719044,11=0.04437250047609973,5=0.04113502190059031,10=0.0384688630737002,4=0.036183584079222945,2=0.03427918491715858,
7=0.1840653728294177,6=0.1695607763023492,8=0.10725229826353423,1=0.08927477017364653,9=0.08804902962206329,12=0.07088866189989781,0=0.05556690500510719,11=0.04657814096016339,10=0.03942798774259442,3=0.0384065372829417,5=0.03779366700715008,2=0.03656792645556683,4=0.03656792645556683,
6=0.19635291950635464,3=0.17093387364155452,8=0.14090992816356607,9=0.08804568060416283,7=0.07386258979554244,12=0.05157487566771045,0=0.05046969976054519,1=0.049548719837907526,11=0.04420703628660896,4=0.03407625713759443,10=0.03389206115306689,5=0.033155277214956744,2=0.0329710812304292,
6=0.16598569969356472,9=0.13457609805924417,7=0.12155260469867211,0=0.10291113381001023,1=0.0676710929519919,12=0.06384065372829421,11=0.05949948927477024,10=0.050817160367722186,8=0.049029622063329954,5=0.04673135852911133,3=0.045965270684371784,4=0.04570990806945861,2=0.045709908069458606,
4=0.25402070940735805,1=0.11390174047146934,8=0.10310641110376727,0=0.0782110597047807,9=0.07270323859881023,12=0.06433135051773506,11=0.05529852390394351,3=0.0548578982154659,7=0.0456047587574355,2=0.0396563119629874,5=0.0396563119629874,6=0.03943599911874858,10=0.03921568627450976,
2=0.24734706616729088,5=0.20099875156054928,10=0.16307740324594253,0=0.06507490636704119,9=0.05649188514357053,1=0.045099875156054896,7=0.03807740324594252,11=0.037297128589263366,12=0.03214731585518098,6=0.028870162297128542,8=0.028870162297128535,4=0.028558052434456877,3=0.028089887640449382,
0=0.12904324140279197,9=0.1154239019407559,1=0.0966973101804562,11=0.08546135512427641,7=0.07728975144705476,12=0.07116104868913853,3=0.060946544092611465,6=0.060946544092611465,2=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.1436840313244809,9=0.10963568266939051,1=0.09737827715355803,11=0.0837589376915219,7=0.07422540006809665,12=0.0667347633639768,2=0.060946544092611465,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
4=0.25280898876404484,0=0.08898876404494377,9=0.08269662921348316,8=0.0768539325842696,10=0.0739325842696629,2=0.07123595505617974,1=0.0642696629213483,3=0.05640449438202249,11=0.05146067415730339,7=0.04943820224719103,12=0.04898876404494385,5=0.04247191011235958,6=0.040449438202247216,
0=0.13077403245942576,6=0.1267166042446942,9=0.10174781523096124,1=0.08489388264669154,11=0.0805243445692883,12=0.07084893882646684,7=0.06960049937578018,8=0.056491885143570425,4=0.05586766541822711,10=0.05586766541822711,2=0.05555555555555545,3=0.05555555555555545,5=0.05555555555555545,
1=0.21019457385585083,0=0.09509454645108255,10=0.0912578788709236,9=0.08221430528912035,2=0.08139216223622915,11=0.06412715812551388,7=0.06138668128254321,12=0.059468347492463734,3=0.052617155385037036,4=0.05097286927925462,5=0.05097286927925462,6=0.05015072622636342,8=0.05015072622636342,
11=0.14670947030497575,0=0.12263242375601914,9=0.0975922953451042,1=0.08860353130016041,7=0.07704654895666121,12=0.06452648475120372,10=0.059390048154092996,5=0.05778491171749587,2=0.05714285714285703,3=0.05714285714285703,4=0.05714285714285703,6=0.05714285714285703,8=0.05714285714285703,
6=0.12019067075246846,9=0.09942117807286344,0=0.0960163432073544,1=0.0837589376915219,7=0.0823970037453183,11=0.0803541028260129,12=0.07218249914879124,10=0.06162751106571327,8=0.061287027579162365,3=0.060946544092611465,2=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,
4=0.30907261445581063,3=0.1665269159818882,8=0.07278215663256747,6=0.060372295824249606,5=0.05282575884621834,12=0.0518195539158142,9=0.050142545698473914,0=0.046956230085527406,1=0.04343451282911288,7=0.04024819721616638,11=0.04008049639443235,10=0.03354016434680533,2=0.03219855777293312,
2=0.6099518459069023,5=0.1007459163440656,6=0.05268624303654036,10=0.039278632801435155,9=0.027192899631762805,0=0.026154281937494087,1=0.02511566424322536,11=0.02436030592012084,7=0.021905391370031144,12=0.021055613256538555,4=0.017562081012180146,8=0.01708998206023982,3=0.016901142479463692,
4=0.25117796303008333,3=0.1823124320405944,1=0.1353751359188112,0=0.06687205509242479,8=0.06505980427691192,9=0.05273649873142443,11=0.041500543675244625,7=0.0391446176150779,12=0.036607466473359884,10=0.0324392895976803,2=0.03225806451612901,5=0.03225806451612901,6=0.03225806451612901,
0=0.1311962987442166,9=0.11070720423000648,1=0.09352280237937859,11=0.08228684732319883,7=0.07865168539325831,12=0.07600793126239247,6=0.07336417713152665,3=0.059484467944481034,2=0.059153998678122814,4=0.059153998678122814,5=0.05882352941176458,8=0.05882352941176458,10=0.05882352941176458,
0=0.13142662580864833,9=0.12938372488934288,1=0.09124957439564176,11=0.08137555328566558,7=0.07524685052774936,12=0.0663942798774259,4=0.060946544092611465,8=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,10=0.06060606060606056,
0=0.13142662580864833,9=0.12427647259107935,1=0.09397344228804899,11=0.07967313585291107,7=0.07797071842015656,12=0.06775621382362951,4=0.060946544092611465,6=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
4=0.23906655142610178,11=0.18426966292134803,3=0.16300777873811562,0=0.06274848746758854,8=0.0596369922212618,9=0.0513396715643906,1=0.043733794295591995,7=0.03751080380293858,12=0.03370786516853928,10=0.03197925669835776,2=0.031114952463267,6=0.030942091616248855,5=0.03094209161624885,
0=0.1344909771876064,9=0.11780728634661222,1=0.09839972761321074,7=0.07933265236636017,11=0.07865168539325837,12=0.0663942798774259,6=0.060946544092611465,8=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,10=0.06060606060606056,
0=0.13142662580864828,9=0.12734082397003746,1=0.09329247531494718,11=0.08069458631256379,7=0.07660878447395296,12=0.0657133129043241,3=0.060946544092611465,5=0.060946544092611465,2=0.06060606060606056,4=0.06060606060606056,6=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
3=0.24264312466559662,4=0.18913857677902596,8=0.08962011771000525,11=0.04842161583734611,12=0.04842161583734611,9=0.04815409309791326,6=0.0478865703584804,0=0.04761904761904755,1=0.04761904761904755,2=0.04761904761904755,5=0.04761904761904755,7=0.04761904761904755,10=0.04761904761904755,
11=0.10903037869329985,1=0.07490636704119859,3=0.07490636704119857,7=0.07449022055763636,0=0.07407407407407415,2=0.07407407407407415,4=0.07407407407407415,5=0.07407407407407415,6=0.07407407407407415,8=0.07407407407407415,9=0.07407407407407415,10=0.07407407407407415,12=0.07407407407407415,
2=0.29202358438090975,12=0.1835020580709756,3=0.13327400155745903,10=0.11936811658693953,5=0.07637112025809317,6=0.059183446434531085,8=0.026754922683279583,9=0.023139392590944503,11=0.021470686394482158,4=0.018633885860496177,7=0.0167983090443876,1=0.015685838246746034,0=0.013794637890755378,
12=0.39772202555025393,3=0.118054486686163,6=0.11466830845005388,7=0.08096044328151454,9=0.04155764198861017,11=0.034631368323841824,0=0.03463136832384182,1=0.03340003078343855,5=0.029706018162228776,8=0.02955210096967836,4=0.029398183777127957,2=0.028166846236724694,10=0.02755117746652307,
12=0.3046192259675406,8=0.12219101123595509,6=0.1112671660424469,3=0.07849563046192257,11=0.06710362047440702,9=0.06132958801498129,1=0.04822097378277151,4=0.03963795255930081,0=0.038857677902621665,7=0.03807740324594252,10=0.030274656679151014,2=0.02996254681647935,5=0.02996254681647935,
12=0.36533377395902183,6=0.125743555849306,7=0.09203569068076656,5=0.07138136153337732,9=0.058823529411764636,0=0.04494382022471905,11=0.041308658294778526,1=0.0411434236615994,2=0.03354263053536015,4=0.03271645736946458,10=0.03205551883674812,3=0.031064111037673436,8=0.029907468605419634,
12=0.3450578081745645,3=0.12310698583292626,6=0.12294414590457582,9=0.06497313141182223,7=0.05764533463605281,0=0.04950333821853122,1=0.04266406122781308,11=0.03989578244585576,8=0.031428106171633295,5=0.031265266243282866,4=0.03061390652988114,10=0.030613906529881132,2=0.03028822667318027,
12=0.32722558340535834,3=0.12757130509939485,6=0.09282627484874671,7=0.09144338807260143,5=0.07208297320656863,9=0.04961106309420914,0=0.03681936041486599,1=0.03630077787381152,11=0.034917891097666326,2=0.03388072601555742,10=0.033880726015557416,4=0.031806395851339604,8=0.03163353500432145,
12=0.37078651685393244,6=0.08298555377207052,5=0.06998394863563397,7=0.06773675762439799,8=0.0632423756019261,9=0.0576243980738362,3=0.05617977528089882,1=0.04783306581059385,4=0.04414125200642049,0=0.04044943820224713,11=0.036918138041733495,2=0.031942215088282454,10=0.03017656500802562,
12=0.17850328598685603,3=0.15963536145855411,9=0.09963960144159428,5=0.09285562857748579,0=0.07801568793724831,6=0.06423574305702781,1=0.05787576849692604,11=0.05045579817680735,4=0.04875980496078017,7=0.048335806656773395,2=0.043459826160695374,10=0.03943184227263092,8=0.038795844816620725,
12=0.20712317150731405,3=0.17277930888276427,9=0.10536357854568593,7=0.07992368030527881,0=0.0752596989612042,1=0.06317574729701086,11=0.05215179139283448,6=0.050879796480814095,4=0.039643841424634306,5=0.03879584481662073,8=0.038583845664617346,10=0.038371846512613945,2=0.03794784820860716,
12=0.17667570709027514,5=0.11894614490507566,7=0.11352189074002338,9=0.10771018984889585,8=0.08175125920185979,1=0.07380860131731888,0=0.06392870980240221,3=0.05831073227431232,4=0.045331266950794265,11=0.04513754358775668,2=0.04126307632700503,6=0.037776055792328525,10=0.035838822161952694,
12=0.16184556538369582,7=0.1506096103275161,9=0.1276595744680851,0=0.08486732010518766,3=0.0731532393019364,1=0.06239540999282812,4=0.058092278269184776,8=0.056418838154434596,11=0.05163758068371979,6=0.044704757351183295,5=0.04350944298350459,2=0.04255319148936164,10=0.04255319148936164,
12=0.14015375517445303,0=0.12270845653459489,9=0.10762862211709043,1=0.08515671200473088,11=0.07569485511531632,7=0.06918982850384382,8=0.06918982850384377,3=0.05972797161442929,4=0.05765819041986986,2=0.05322294500295684,5=0.05322294500295684,6=0.05322294500295684,10=0.05322294500295684,
12=0.18717456837489713,9=0.1342833653055631,0=0.101123595505618,7=0.09975335708413269,1=0.07152644560153472,11=0.05782406138668132,6=0.05371334612222531,5=0.04960263085776929,2=0.04905453548917515,3=0.04905453548917515,8=0.04905453548917515,10=0.04905453548917515,4=0.048780487804878085,
4=0.18833600856072744,0=0.11342964151952901,1=0.09791332263242362,9=0.09229534510433378,11=0.07062600321027278,3=0.06474050294275009,8=0.06260032102728724,7=0.06126270733012301,12=0.055377207062600256,10=0.04868913857677895,2=0.04842161583734611,6=0.04815409309791326,5=0.04815409309791325,
0=0.13619339462036095,9=0.1188287368062649,1=0.0956758597208035,11=0.08035410282601288,7=0.07865168539325838,12=0.066053796390875,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.13687436159346275,9=0.1266598569969357,1=0.09090909090909084,11=0.08137555328566559,7=0.07116104868913853,12=0.06775621382362951,3=0.060946544092611465,8=0.060946544092611465,10=0.060946544092611465,2=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,
4=0.18498218690052062,0=0.10961907371882712,9=0.1035900246642916,1=0.10057550013702386,11=0.06906001644286111,3=0.06549739654699922,7=0.06111263359824614,12=0.05590572759660185,8=0.052343107700739966,6=0.04987667854206635,5=0.04932858317347222,10=0.04932858317347222,2=0.048780487804878085,
0=0.14708886618998984,9=0.10759278175008513,1=0.08988764044943813,11=0.08648280558392911,7=0.07524685052774935,12=0.0687776642832822,6=0.061287027579162365,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.14742934967654078,9=0.1154239019407559,1=0.09329247531494718,7=0.07660878447395296,11=0.07626830098740206,12=0.066053796390875,6=0.061287027579162365,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.1307456588355465,9=0.12700034048348655,1=0.08954715696288723,7=0.08001361933946198,11=0.08001361933946198,12=0.0680966973101804,6=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
4=0.18619582664526463,0=0.10861423220973772,1=0.10192616372391645,9=0.09604066345639371,3=0.06768325307651142,11=0.06741573033707857,7=0.06179775280898869,8=0.06153023006955585,12=0.05484216158373454,6=0.04922418405564467,5=0.04868913857677895,2=0.04815409309791325,10=0.0478865703584804,
0=0.14402451481103173,9=0.10623084780388152,1=0.09090909090909086,11=0.083418454204971,7=0.07763023493360566,12=0.07320394960844394,6=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.13619339462036092,9=0.11678583588695947,1=0.09022812393598906,11=0.0840994211780728,7=0.07831120190670747,12=0.0691181477698331,3=0.06162751106571327,2=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
7=0.12873194221508813,0=0.12744783306581045,9=0.10208667736757614,1=0.09277688603531291,11=0.07768860353130007,12=0.06452648475120373,6=0.06356340288924549,3=0.05746388443017645,2=0.05714285714285703,4=0.05714285714285703,5=0.05714285714285703,8=0.05714285714285703,10=0.05714285714285703,
0=0.11872659176029952,9=0.09737827715355801,1=0.09063670411985014,11=0.08164794007490633,7=0.07602996254681643,12=0.0685393258426966,6=0.06704119850187264,2=0.06666666666666665,3=0.06666666666666665,4=0.06666666666666665,5=0.06666666666666665,8=0.06666666666666665,10=0.06666666666666665,
0=0.1198501872659175,9=0.09962546816479394,1=0.08838951310861416,7=0.07715355805243443,11=0.07602996254681643,12=0.07191011235955053,2=0.06704119850187264,3=0.06666666666666665,4=0.06666666666666665,5=0.06666666666666665,6=0.06666666666666665,8=0.06666666666666665,10=0.06666666666666665,
0=0.12097378277153553,9=0.10262172284644186,1=0.08614232209737822,11=0.07827715355805237,7=0.07640449438202242,12=0.06891385767790259,2=0.06666666666666665,3=0.06666666666666665,4=0.06666666666666665,5=0.06666666666666665,6=0.06666666666666665,8=0.06666666666666665,10=0.06666666666666665,
0=0.11573033707865162,9=0.09850187265917594,1=0.09026217228464416,11=0.08277153558052427,7=0.07453183520599248,12=0.07041198501872656,8=0.06741573033707864,4=0.06704119850187264,2=0.06666666666666665,3=0.06666666666666665,5=0.06666666666666665,6=0.06666666666666665,10=0.06666666666666665,
0=0.11947565543071151,9=0.10299625468164786,1=0.08726591760299618,11=0.0775280898876404,7=0.0767790262172284,12=0.0685393258426966,4=0.06704119850187265,5=0.06704119850187264,2=0.06666666666666665,3=0.06666666666666665,6=0.06666666666666665,8=0.06666666666666665,10=0.06666666666666665,
5=0.14177131526767994,0=0.10839391936549886,9=0.09054857898215454,4=0.07666886979510892,1=0.07633840052875071,11=0.06972901520158613,2=0.06840713813615322,7=0.06774619960343677,10=0.06146728354263042,12=0.06113681427627219,6=0.05948446794448104,8=0.05948446794448104,3=0.05882352941176458,
0=0.1250936329588014,9=0.09850187265917595,1=0.08539325842696623,11=0.07977528089887635,7=0.07415730337078646,12=0.07041198501872656,2=0.06666666666666665,3=0.06666666666666665,4=0.06666666666666665,5=0.06666666666666665,6=0.06666666666666665,8=0.06666666666666665,10=0.06666666666666665,
0=0.11685393258426958,9=0.09550561797752803,1=0.09438202247191006,11=0.07940074906367035,7=0.07790262172284643,12=0.06891385767790259,8=0.06704119850187264,2=0.06666666666666665,3=0.06666666666666665,4=0.06666666666666665,5=0.06666666666666665,6=0.06666666666666665,10=0.06666666666666665,
0=0.11348314606741566,1=0.09850187265917598,9=0.09550561797752799,11=0.08127340823970033,7=0.07602996254681642,12=0.0685393258426966,2=0.06666666666666665,3=0.06666666666666665,4=0.06666666666666665,5=0.06666666666666665,6=0.06666666666666665,8=0.06666666666666665,10=0.06666666666666665,
11=0.13683788121990365,10=0.07383627608346705,4=0.07223113964686993,7=0.07223113964686993,8=0.07223113964686993,1=0.07182985553772066,2=0.07182985553772066,12=0.07182985553772066,0=0.07142857142857138,3=0.07142857142857138,5=0.07142857142857138,6=0.07142857142857138,9=0.07142857142857138,
4=0.22921348314606704,8=0.12295345104333856,3=0.07415730337078641,12=0.058426966292134716,1=0.05746388443017645,7=0.05746388443017645,9=0.05746388443017645,0=0.05714285714285703,2=0.05714285714285703,5=0.05714285714285703,6=0.05714285714285703,10=0.05714285714285703,11=0.05714285714285703,
2=0.4979832901181213,5=0.09953903774128486,4=0.09248055315471033,3=0.0746182656295015,6=0.0359406511091904,10=0.035004321521175406,12=0.03068280034572165,11=0.027729760875828263,8=0.02369634111207141,9=0.02276001152405645,0=0.02261596081820799,1=0.019662921348314585,7=0.017286084701815023,
6=0.1685393258426964,9=0.09085072231139639,0=0.08924558587479924,1=0.0857142857142856,7=0.07800963081861949,11=0.073836276083467,12=0.06741573033707852,5=0.059711075441412395,10=0.05810593900481529,2=0.05714285714285703,3=0.05714285714285703,4=0.05714285714285703,8=0.05714285714285703,
6=0.14232209737827703,11=0.13028357410379865,3=0.09470304975922941,0=0.08132691278758687,9=0.07998929909042263,4=0.07196361690743705,1=0.0695559122525414,7=0.06581059390048147,8=0.06313536650615297,12=0.055377207062600256,5=0.04895666131621181,10=0.04868913857677895,2=0.0478865703584804,
4=0.22821882482961858,3=0.2044575428255664,6=0.09486093203168162,11=0.08067784122306128,8=0.0589427150488119,0=0.0534168355129858,9=0.049917111806962594,1=0.04586480014735678,7=0.04052311659605821,12=0.03868115675078284,10=0.03647080493645238,5=0.03481304107570458,2=0.033155277214956744,
6=0.1669341894060993,0=0.09406099518459057,9=0.09085072231139639,1=0.08186195826645254,11=0.0770465489566612,7=0.07640449438202236,12=0.06581059390048141,5=0.059069020866773576,10=0.0581059390048153,8=0.05778491171749587,2=0.05746388443017645,4=0.05746388443017645,3=0.05714285714285703,
7=0.17347218416004379,6=0.15401479857495207,9=0.1238695533022746,0=0.06851192107426697,12=0.06357906275691975,1=0.06083858591394906,11=0.05837215675527546,10=0.05069882159495756,5=0.05015072622636342,8=0.04960263085776929,2=0.04932858317347222,3=0.048780487804878085,4=0.048780487804878085,
4=0.22299049265341364,3=0.1920484010371649,12=0.07640449438202238,9=0.07484874675885901,6=0.07398444252376829,7=0.06776145203111487,8=0.06084701815038888,0=0.049438202247190956,1=0.046845289541918717,11=0.04062229904926527,10=0.03197925669835776,5=0.03146067415730331,2=0.0307692307692307,
12=0.2091800143437726,11=0.0996892182644035,9=0.09634233803490316,6=0.0896485775759024,7=0.08271575424336602,0=0.06359072436050679,4=0.059048529763327744,1=0.057136026775041864,8=0.05665790102797034,3=0.05474539803968443,10=0.044943820224719044,5=0.04350944298350459,2=0.04279225436289738,
9=0.13726085636197996,12=0.13392043729122383,6=0.10841178256908593,0=0.08047373215912541,11=0.07227452171272399,1=0.07197084725174614,7=0.06680838141512298,10=0.0564834497418767,5=0.054965077436987544,4=0.054661402976009715,8=0.05466140297600971,2=0.05405405405405404,3=0.05405405405405404,
4=0.2016051364365968,3=0.17383627608346683,12=0.14189406099518442,9=0.09406099518459056,6=0.05746388443017645,0=0.05617977528089882,8=0.05232744783306575,1=0.04911717495987154,7=0.044141252006420495,11=0.04205457463884426,5=0.029534510433386778,10=0.029213483146067358,2=0.028571428571428515,
